## File generated by myo_cap software
## Available from github.com/ddantas/myo_cap
## Timestamp: 2018-05-23_20-57-32
##
## EMG capture settings##
# sampleRate: 2000
# channelsPerBoard: 4
# nBoards: 1
# bitsPerSample: 12
##
## Data
## t;ch0;ch1;...;ch(channelsPerBoard * nBoards - 1)
267;330;320;299
232;323;294;255
162;247;254;251
39;108;145;139
0;1;19;33
0;0;0;0
0;0;0;0
0;0;0;0
11;1;1;2
32;23;32;42
43;48;67;107
68;94;131;137
90;130;136;138
120;148;134;137
244;273;249;246
264;348;334;313
233;330;309;265
156;245;245;253
36;105;135;129
0;0;13;21
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;1
20;5;4;4
41;41;52;75
57;72;109;131
81;124;134;137
117;153;141;135
200;257;250;253
261;340;337;321
252;345;334;316
195;270;258;258
86;136;139;138
0;0;13;21
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
19;8;9;12
33;32;41;64
46;61;84;131
68;103;132;141
107;131;138;133
142;180;193;196
255;312;286;257
259;342;323;285
206;294;264;253
129;181;189;189
5;29;55;88
0;0;0;4
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;0
23;17;17;33
42;48;66;108
59;86;121;127
83;130;135;141
118;148;137;138
234;292;261;256
266;339;323;298
245;314;290;258
168;249;243;249
55;123;137;130
0;1;13;33
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
21;12;13;24
43;45;65;98
57;77;120;138
83;122;140;141
114;137;137;135
209;255;258;261
261;355;355;358
242;322;311;282
177;254;254;233
66;129;147;135
0;1;16;33
0;0;0;0
0;0;0;0
0;0;0;0
3;0;0;0
22;9;11;21
31;29;37;53
50;62;89;133
81;119;134;132
106;154;133;141
171;234;254;233
258;332;323;302
249;348;337;308
205;287;256;247
108;177;174;159
6;24;52;79
0;0;0;2
0;0;0;0
0;0;0;0
2;0;0;2
17;8;9;12
28;21;27;39
45;50;73;108
77;107;130;136
103;139;135;145
140;174;183;197
253;309;276;252
256;325;298;265
203;273;247;230
127;171;172;166
5;18;38;58
0;0;0;1
0;0;0;0
0;0;0;0
0;0;0;0
11;1;1;1
21;8;7;7
43;43;57;84
57;76;114;131
86;127;143;136
116;151;139;134
190;251;236;238
256;334;324;305
244;330;310;265
177;257;254;253
73;132;129;140
0;0;13;20
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
20;8;12;13
30;26;31;41
47;56;84;119
74;111;129;129
112;133;128;139
160;198;210;245
259;341;325;313
259;337;332;318
203;277;258;257
125;167;170;168
5;14;38;63
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
13;0;0;0
28;23;28;42
49;57;80;120
71;105;130;130
98;134;147;137
127;147;139;134
249;290;251;254
263;329;302;262
219;301;258;241
141;208;233;251
14;56;114;128
0;0;16;27
0;0;0;0
0;0;0;0
1;0;0;1
15;5;2;6
24;20;21;23
42;50;65;94
70;99;134;130
95;136;135;138
120;165;148;137
239;282;255;258
259;347;329;300
219;311;279;251
152;234;255;246
29;89;142;139
0;0;18;28
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
23;14;18;32
42;47;67;104
60;82;120;131
83;128;134;137
115;146;136;137
226;273;249;253
260;349;338;317
228;325;304;265
168;252;247;255
50;120;133;140
0;3;14;21
0;0;0;0
0;0;0;0
0;0;0;0
11;0;1;1
18;7;5;3
32;31;36;48
51;64;92;133
77;119;136;131
112;142;135;139
169;221;248;238
253;351;354;345
254;328;330;312
199;269;259;255
101;156;149;132
1;9;23;30
0;0;0;1
0;0;0;0
0;0;0;0
2;0;0;1
11;1;0;2
30;25;30;45
44;53;74;109
63;91;129;137
98;132;133;135
123;159;155;145
250;318;276;257
265;344;333;311
218;306;269;260
137;211;234;228
19;67;124;130
0;0;5;7
0;0;0;0
0;0;0;0
0;0;0;0
11;1;1;2
28;16;19;28
40;39;54;85
58;78;118;130
85;130;139;136
120;148;138;134
233;284;260;256
269;335;332;315
238;335;315;280
175;260;251;239
53;127;141;140
0;1;15;21
0;0;0;0
0;0;0;0
0;0;0;0
9;0;1;5
25;16;17;33
35;37;47;70
59;81;120;140
85;131;135;136
114;144;131;137
208;257;259;254
264;358;365;369
248;328;327;308
189;257;253;253
76;131;139;138
0;1;15;23
0;0;0;0
0;0;0;0
0;0;0;0
3;0;0;0
15;3;0;2
28;21;22;24
55;62;89;128
71;105;136;142
99;142;134;137
136;172;172;169
255;309;272;251
258;348;323;289
204;289;259;246
130;192;202;215
13;37;75;122
0;0;0;15
0;0;0;0
0;0;0;0
2;0;0;1
11;0;0;1
33;25;35;47
49;61;87;123
67;98;135;127
105;139;131;135
